repository	link	type
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=10220&REC=11	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/manuscritBC&CISOPTR=8298&REC=7	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,87697	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,87736	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,87762	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141067	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141263	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141187	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141232	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141198	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141218	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141230	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141278	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141297	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141346	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141360	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141393	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141441	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141310	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141331	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141407	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=7966&REC=19	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,142956	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143069	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143087	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143103	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143134	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141459	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,217873	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca2,217852	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=%2FmapesCEC&CISOPTR=145&DMSCALE=100&DMWIDTH=600&DMHEIGHT=600&DMMODE=viewer&DMFULL=1&DMX=1820&DMY=2705&DMTEXT=%20Solson%C3%A8s&DMTHUMB=1&REC=20&DMROTATE=0&x=220&y=737	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143523	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,143602	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/incunableBC&CISOPTR=24893	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/doc_viewer.php?CISOROOT=/destino&CISOPTR=126955&CISOBOX=1	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/portalarca&CISOPTR=146520&REC=4	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/u?/portalarca,141822	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/item_viewer.php?CISOROOT=/bcsalvany&CISOPTR=1498&CISOBOX=1&REC=20	REG
Memoria Digital Catalunya	http://mdc.cbuc.cat/cdm4/document.php?CISOROOT=/epistolari&CISOPTR=7655&REC=13	REG
